# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_compound
# Exported by: Badger
setting:	replacespawns 1
weapon_ttt_awp	1739.950073 855.190613 301.013489	0.739 37.201 -85.063
weapon_ttt_awp	1033.751343 -196.476624 129.206177	0.973 156.522 -84.887
weapon_ttt_awp	1880.381958 431.031036 105.181442	0.911 -8.299 -84.802
weapon_ttt_smokegrenade	2357.665527 -950.576782 4.384800	0.623 0.682 -1.530
weapon_ttt_smokegrenade	3129.970459 -530.116272 9.567000	0.241 -0.459 -1.980
weapon_ttt_smokegrenade	2657.800537 544.099670 5.561400	-0.227 0.460 2.632
weapon_ttt_smokegrenade	1206.351807 1323.101440 6.592300	-0.170 0.145 -4.104
weapon_ttt_smokegrenade	2310.697510 -360.754791 10.509900	0.381 0.002 0.003
weapon_ttt_smokegrenade	1913.697021 452.306885 40.507401	0.354 0.002 0.038
weapon_ttt_smokegrenade	3390.692383 1421.031128 12.523400	0.555 0.007 -0.258
weapon_ttt_smokegrenade	1685.247437 2451.705322 12.506500	0.287 0.003 0.072
weapon_ttt_smokegrenade	1532.739624 1568.455688 28.282301	-3.242 1.063 -1.385
weapon_ttt_smokegrenade	364.685394 1540.220581 4.518800	0.435 0.004 -0.117
weapon_ttt_smokegrenade	2573.871582 520.570862 4.156285	-1.572 -1.414 -1.600
weapon_ttt_smokegrenade	2566.839844 528.682861 4.150539	-1.694 -1.375 -1.726
weapon_ttt_smokegrenade	2579.151611 527.469604 4.172017	-1.236 -1.516 -1.258
weapon_ttt_smokegrenade	2570.537842 535.660706 4.171141	-1.255 -1.505 -1.277
weapon_ttt_smokegrenade	2561.334229 533.721924 4.157383	-1.548 -1.444 -1.576
weapon_ttt_pump	2900.878174 -1208.040405 51.634228	0.480 -10.109 -90.307
weapon_ttt_pump	2955.773926 923.016296 98.246544	-11.441 -4.449 93.148
ttt_random_weapon	3258.621338 1603.152222 16.036699	1.738 4.707 -92.910
ttt_random_weapon	3062.436035 955.862122 10.501600	2.028 6.505 -92.331
ttt_random_weapon	3588.282959 1475.921875 3.881100	2.068 2.646 -92.206
ttt_random_weapon	1863.494019 2801.569092 21.129999	1.834 0.097 -92.691
ttt_random_weapon	1848.050537 2777.488770 5.029300	1.834 2.510 -92.691
ttt_random_weapon	375.833313 -919.199524 9.710200	1.715 5.996 -92.965
ttt_random_weapon	351.993988 -1510.663940 25.026600	1.547 5.360 -93.348
ttt_random_weapon	2657.217773 -1555.656250 29.656200	2.592 3.215 -94.863
ttt_random_weapon	2084.766602 -1604.971558 45.363602	-2.485 -48.320 85.323
ttt_random_weapon	2181.463623 461.295593 15.999300	1.934 4.924 -92.462
ttt_random_weapon	1753.038940 659.624207 40.269901	-1.652 158.609 84.163
ttt_random_weapon	1765.112915 575.844421 36.808201	1.930 3.509 -92.663
ttt_random_weapon	1589.055542 465.535004 1.216200	1.692 4.925 -93.016
ttt_random_weapon	1576.587524 686.760986 1.232900	1.504 4.911 -93.448
ttt_random_weapon	1873.310913 383.273010 262.296997	1.836 3.834 -92.686
ttt_random_weapon	2091.743164 -977.154846 52.693523	1.842 4.927 -92.673
ttt_random_weapon	2216.251953 -963.006470 51.693523	1.842 4.927 -92.673
